yearbuilt,finsqft,cooling,bedroom,fullbath,halfbath,lotsize,totalvalue,esdistrict,msdistrict,hsdistrict,censustract,age,condition,fp
2018,3755,Central Air,5,5,1,0.184,911000,Brownsville,Henley,Western Albemarle,111,1,Average,1
2002,1719,Central Air,3,2,1,0.104,275000,Hollymead,Sutherland,Albemarle,103,17,Average,1
1974,1128,Central Air,3,1,0,3.072,187300,Brownsville,Henley,Western Albemarle,112.01,45,Average,1
1978,2022,Central Air,3,2,0,2,230800,Scottsville,Walton,Monticello,114,41,Average,1
1990,1092,No Central Air,3,2,0,3.574,200300,Stone-Robinson,Walton,Monticello,113.01,29,Average,0
2010,1730,Central Air,3,2,1,0.065,306300,Stone-Robinson,Burley,Monticello,105,9,Average,0
1984,1312,Central Air,3,1,2,0,185000,Agnor-Hurt,Jouett,Albemarle,107,35,Average,1
2002,2037,Central Air,3,2,2,0.13,305800,Brownsville,Henley,Western Albemarle,111,17,Average,1
1986,1596,Central Air,4,2,0,2,191000,Stone-Robinson,Walton,Monticello,104.02,33,Average,1
2015,1953,Central Air,4,3,0,0.465,632100,Stony Point,Burley,Monticello,105,4,Average,1
1940,2484,Central Air,3,3,1,0.904,657700,Greer,Jouett,Albemarle,108,79,Average,1
1966,1072,Central Air,3,2,1,0.3575,259600,Woodbrook,Jouett,Albemarle,106.01,53,Average,1
2019,1988,Central Air,3,2,1,0.116,432500,Brownsville,Henley,Western Albemarle,111,0,Average,0
1974,2398,Central Air,4,4,1,2.096,389400,Cale,Walton,Monticello,113.01,45,Average,1
1997,2286,Central Air,4,2,1,0.263,392400,Agnor-Hurt,Burley,Albemarle,106.02,22,Average,1
1971,1421,Central Air,5,3,0,0,300300,Baker-Butler,Sutherland,Albemarle,103,48,Average,1
1958,2048,Central Air,4,3,0,1.75,432900,Greer,Jouett,Albemarle,108,61,Average,1
1980,1674,Central Air,3,2,1,3.701,347200,Murray,Henley,Western Albemarle,110,39,Average,1
1974,960,Central Air,3,1,0,0,169800,Crozet,Henley,Western Albemarle,111,45,Average,0
2013,1792,Central Air,3,2,0,2.588,278500,Crozet,Henley,Western Albemarle,101,6,Average,1
1971,1785,Central Air,3,2,0,0,298900,Meriwether Lewis,Henley,Western Albemarle,102.02,48,Average,1
2007,4594,Central Air,4,4,2,2.494,1359000,Stone-Robinson,Burley,Monticello,104.01,12,Average,1
2012,2150,Central Air,4,3,1,0.6603,460000,Woodbrook,Jouett,Albemarle,106.01,7,Average,1
2007,1572,Central Air,3,2,1,0.039,276800,Brownsville,Henley,Western Albemarle,111,12,Average,1
1930,2744,No Central Air,3,2,1,13.003,248300,Red Hill,Walton,Monticello,112.01,89,Average,1
2019,2111,Central Air,4,3,0,0.127,468200,Stone-Robinson,Burley,Monticello,104.02,0,Average,0
1998,2252,Central Air,4,3,1,1.395,514200,Murray,Henley,Western Albemarle,110,21,Average,1
1998,2784,Central Air,5,2,1,0.337,464700,Agnor-Hurt,Burley,Albemarle,106.02,21,Average,1
1983,1312,Central Air,3,1,2,0.073,185200,Baker-Butler,Sutherland,Albemarle,102.01,36,Average,1
2008,4001,Central Air,5,4,1,6.755,1015100,Murray,Henley,Western Albemarle,110,11,Average,1
1982,1312,Central Air,3,1,2,0.109,246900,Greer,Jouett,Albemarle,108,37,Average,1
1972,1428,Central Air,3,1,1,0,166800,Agnor-Hurt,Burley,Albemarle,107,47,Average,0
1974,2221,No Central Air,3,2,0,5.9,433400,Stony Point,Burley,Monticello,105,45,Average,1
1950,4159,Central Air,3,4,1,4.4,2178200,Murray,Henley,Western Albemarle,110,69,Average,1
2015,1644,Central Air,4,3,1,0.1009,338600,Brownsville,Henley,Western Albemarle,111,4,Average,0
2006,2290,Central Air,3,2,1,5,403900,Murray,Henley,Western Albemarle,112.01,13,Average,1
2013,2796,Central Air,4,3,1,2.574,858000,Meriwether Lewis,Henley,Western Albemarle,102.02,6,Average,1
1965,1445,Central Air,2,1,0,1,157500,Stone-Robinson,Burley,Monticello,104.01,54,Average,0
2005,2313,Central Air,4,2,1,0.232,325400,Baker-Butler,Sutherland,Albemarle,103,14,Average,1
1990,1666,Central Air,3,2,1,0.266,296500,Baker-Butler,Sutherland,Albemarle,103,29,Average,1
1982,1377,Central Air,3,2,0,1.576,286800,Broadus Wood,Jouett,Albemarle,102.01,37,Average,1
2001,5668,Central Air,4,5,2,6.38,1280900,Meriwether Lewis,Henley,Western Albemarle,102.02,18,Average,1
1996,2449,Central Air,5,3,1,0.35,439000,Hollymead,Sutherland,Albemarle,103,23,Average,1
1908,2009,Central Air,3,2,0,0.516,318900,Crozet,Henley,Western Albemarle,111,111,Average,0
2001,3861,Central Air,4,5,0,21.48,1140600,Stone-Robinson,Burley,Monticello,104.02,18,Average,1
1959,1080,Central Air,3,1,1,0.456,246700,Crozet,Henley,Western Albemarle,111,60,Average,1
1985,2184,Central Air,3,2,1,0.226,353800,Woodbrook,Jouett,Albemarle,106.01,34,Average,1
2007,4352,Central Air,6,2,2,10,656900,Broadus Wood,Jouett,Albemarle,102.01,12,Average,1
1996,1456,Central Air,3,2,0,14.086,232600,Scottsville,Walton,Monticello,113.01,23,Average,1
2001,2139,Central Air,4,3,1,0.53,571600,Stone-Robinson,Burley,Monticello,104.02,18,Average,1
1972,1372,Central Air,2,2,0,2,167800,Crozet,Henley,Western Albemarle,101,47,Average,0
2017,1898,Central Air,3,3,1,0.055,341100,Baker-Butler,Sutherland,Albemarle,103,2,Average,0
2005,1824,Central Air,3,2,1,0.056,302600,Woodbrook,Jouett,Albemarle,106.01,14,Average,1
2008,1996,Central Air,3,2,1,4,368400,Broadus Wood,Jouett,Albemarle,101,11,Average,0
2009,1426,Central Air,3,3,1,0.082,291800,Baker-Butler,Sutherland,Albemarle,103,10,Average,0
1993,1884,Central Air,3,2,1,0.294,384900,Cale,Walton,Monticello,113.01,26,Average,1
1987,1608,Central Air,4,2,0,0.377,323100,Cale,Walton,Monticello,113.03,32,Average,1
2002,1933,Central Air,4,3,1,0.17,421500,Cale,Burley,Monticello,112.02,17,Average,1
1967,1632,Central Air,4,2,0,2.242,347600,Meriwether Lewis,Henley,Western Albemarle,102.02,52,Average,1
1988,1074,Central Air,3,2,1,0.385,251000,Crozet,Henley,Western Albemarle,111,31,Average,1
2007,2707,Central Air,4,3,1,0.197,559300,Brownsville,Henley,Western Albemarle,111,12,Average,1
2015,3232,Central Air,5,3,1,0.574,638000,Stony Point,Burley,Monticello,105,4,Average,1
1979,1276,Central Air,3,2,1,0.174,291100,Agnor-Hurt,Burley,Albemarle,106.02,40,Average,1
1988,2164,Central Air,3,1,0,3.163,418700,Meriwether Lewis,Henley,Western Albemarle,101,31,Average,1
2004,6038,Central Air,4,4,0,27.55,1605600,Baker-Butler,Sutherland,Albemarle,104.01,15,Average,1
1991,2164,Central Air,3,2,0,4.242,227300,Scottsville,Walton,Monticello,114,28,Average,0
1998,2209,Central Air,4,3,1,0.302,407500,Cale,Burley,Monticello,112.02,21,Average,1
2007,1564,Central Air,3,2,1,0.041,269600,Cale,Walton,Monticello,113.01,12,Average,0
1995,3081,Central Air,4,2,1,0.442,494000,Agnor-Hurt,Burley,Albemarle,106.02,24,Average,1
2015,5577,Central Air,5,4,1,23.77,2090800,Brownsville,Henley,Western Albemarle,112.01,4,Average,1
1992,2198,Central Air,3,2,1,2.1,324100,Broadus Wood,Jouett,Albemarle,101,27,Average,1
1960,1828,Central Air,4,3,0,5,508600,Crozet,Henley,Western Albemarle,101,59,Average,1
2007,1587,Central Air,3,2,1,0.069,297500,Cale,Walton,Monticello,113.01,12,Average,0
2015,4006,Central Air,4,3,2,3.103,1064600,Murray,Henley,Western Albemarle,112.02,4,Average,1
2014,2307,Central Air,3,2,1,0,637900,Stony Point,Burley,Monticello,105,5,Average,1
2007,1296,Central Air,2,2,0,0.029,374600,Greer,Jouett,Albemarle,109.02,12,Average,1
1979,5902,Central Air,4,4,2,3.27,2459600,Murray,Henley,Western Albemarle,110,40,Average,1
2001,2614,Central Air,4,2,1,4.151,449000,Meriwether Lewis,Henley,Western Albemarle,110,18,Average,1
2006,3044,Central Air,5,4,1,0.474,536200,Cale,Walton,Monticello,112.02,13,Average,1
1974,1364,Central Air,3,3,0,0.658,264100,Stony Point,Burley,Monticello,105,45,Average,1
1998,1512,Central Air,3,2,0,2.04,194400,Scottsville,Walton,Monticello,114,21,Average,0
2001,1506,Central Air,2,2,0,0.12,272000,Hollymead,Sutherland,Albemarle,103,18,Average,1
2005,3043,Central Air,4,3,1,3.547,1113600,Murray,Henley,Western Albemarle,112.02,14,Average,1
2014,3101,Central Air,4,3,1,0.474,653600,Stony Point,Burley,Monticello,105,5,Average,1
1990,1406,Central Air,3,2,1,0,225100,Cale,Walton,Monticello,113.03,29,Average,1
1999,2037,Central Air,3,2,0,0.224,410600,Cale,Burley,Monticello,112.02,20,Average,0
1998,3950,Central Air,3,3,1,4.4,932500,Greer,Jouett,Albemarle,110,21,Average,1
1970,384,No Central Air,0,0,0,7.19,153000,Crozet,Henley,Western Albemarle,112.01,49,Average,1
2003,1741,Central Air,3,2,1,0.179,277300,Cale,Walton,Monticello,113.01,16,Average,1
2001,2611,Central Air,3,2,0,1.38,581100,Broadus Wood,Jouett,Albemarle,102.01,18,Average,1
2015,4248,Central Air,4,4,1,5.93,790600,Broadus Wood,Jouett,Albemarle,102.01,4,Average,1
1830,4384,Central Air,5,3,1,40.258,1057200,Meriwether Lewis,Henley,Western Albemarle,101,189,Average,1
1988,2668,Central Air,5,3,1,3.697,572900,Broadus Wood,Jouett,Albemarle,102.02,31,Average,1
1976,2823,Central Air,3,2,1,2.039,531100,Meriwether Lewis,Henley,Western Albemarle,110,43,Average,1
1989,1680,Central Air,3,2,0,5.384,387000,Stony Point,Burley,Monticello,105,30,Average,0
1940,3099,Central Air,3,2,0,11.201,525800,Cale,Walton,Monticello,104.02,79,Average,1
2005,3041,Central Air,4,3,1,1.35,590100,Baker-Butler,Sutherland,Albemarle,103,14,Average,1
1980,1393,Central Air,3,2,0,4.91,316900,Baker-Butler,Sutherland,Albemarle,102.01,39,Average,1
2002,1817,Central Air,3,3,0,0.159,284000,Hollymead,Sutherland,Albemarle,103,17,Average,1
1950,1870,Central Air,4,2,0,1,102600,Scottsville,Walton,Monticello,114,69,Average,0
1906,990,No Central Air,3,1,0,51.04,399700,Broadus Wood,Jouett,Albemarle,101,113,Average,0
1969,1510,Central Air,4,2,1,0,358900,Greer,Jouett,Albemarle,108,50,Average,1
1982,1074,Central Air,3,2,1,0.121,249200,Woodbrook,Jouett,Albemarle,107,37,Average,1
2000,2028,Central Air,4,2,1,3.45,311400,Brownsville,Henley,Western Albemarle,112.01,19,Average,0
2001,2554,Central Air,4,3,1,0.284,421300,Brownsville,Henley,Western Albemarle,111,18,Average,1
1982,1152,Central Air,3,2,0,0.92,107900,Scottsville,Walton,Monticello,114,37,Average,0
2018,4358,Central Air,6,5,1,0.459,860600,Cale,Burley,Monticello,112.02,1,Average,1
1966,2551,Central Air,4,4,2,5.294,723500,Brownsville,Henley,Western Albemarle,111,53,Average,1
1978,1587,Central Air,2,2,0,3.639,294400,Stony Point,Sutherland,Albemarle,104.01,41,Average,0
1973,960,No Central Air,3,1,1,2.009,160700,Stone-Robinson,Walton,Monticello,113.01,46,Average,1
1994,1008,Central Air,3,1,1,2.06,161700,Scottsville,Walton,Monticello,113.01,25,Average,0
1973,2790,Central Air,4,2,0,0,307100,Agnor-Hurt,Burley,Albemarle,107,46,Average,1
1986,1802,Central Air,3,2,1,0.149,259600,Woodbrook,Jouett,Albemarle,107,33,Average,1
1982,2088,Central Air,4,2,1,1.856,431400,Meriwether Lewis,Henley,Western Albemarle,110,37,Average,0
1960,2101,Central Air,4,2,1,0.3443,278500,Woodbrook,Jouett,Albemarle,106.01,59,Average,1
1984,1100,Central Air,3,2,0,0.47,237000,Baker-Butler,Sutherland,Albemarle,103,35,Average,1
1991,1564,Central Air,3,2,0,0.315,316100,Baker-Butler,Sutherland,Albemarle,103,28,Average,1
1995,2273,Central Air,4,2,1,0.407,388400,Cale,Burley,Monticello,112.02,24,Average,1
1973,960,No Central Air,4,2,0,2.002,234100,Stony Point,Sutherland,Albemarle,104.01,46,Average,1
2002,2429,Central Air,4,2,1,3.69,457400,Broadus Wood,Jouett,Albemarle,102.01,17,Average,1
1997,3758,Central Air,4,3,2,2.152,769400,Stone-Robinson,Burley,Monticello,104.01,22,Average,1
2010,2236,Central Air,4,2,1,0.113,389500,Brownsville,Henley,Western Albemarle,111,9,Average,1
1970,2670,Central Air,3,4,0,1.57,663900,Greer,Jouett,Albemarle,108,49,Average,1
2007,2516,Central Air,4,2,1,0.22,538000,Brownsville,Henley,Western Albemarle,111,12,Average,1
1994,1567,Central Air,3,2,0,0.329,383800,Cale,Walton,Monticello,113.01,25,Average,1
1972,4641,Central Air,5,4,1,2.73,847100,Meriwether Lewis,Henley,Western Albemarle,110,47,Average,1
1967,1764,Central Air,4,3,0,1.1118,352300,Woodbrook,Jouett,Albemarle,106.01,52,Average,1
1976,1786,Central Air,3,3,0,0,324600,Murray,Henley,Western Albemarle,110,43,Average,1
1994,1202,Central Air,2,3,1,0.036,241400,Agnor-Hurt,Burley,Albemarle,106.02,25,Average,1
2012,1440,Central Air,3,2,1,0.037,275100,Brownsville,Henley,Western Albemarle,111,7,Average,0
1973,960,No Central Air,3,1,0,2,163700,Baker-Butler,Sutherland,Albemarle,103,46,Average,0
1983,1482,Central Air,3,2,0,0.168,263100,Greer,Jouett,Albemarle,108,36,Average,1
2016,3768,Central Air,4,4,2,0.46,746600,Brownsville,Henley,Western Albemarle,111,3,Average,0
1991,987,No Central Air,3,1,1,2.697,120100,Stone-Robinson,Burley,Monticello,104.01,28,Average,0
1979,2000,Central Air,4,2,1,2.02,482800,Meriwether Lewis,Henley,Western Albemarle,110,40,Average,1
1980,1133,Central Air,3,1,1,0,279200,Hollymead,Sutherland,Albemarle,103,39,Average,1
2000,2538,Central Air,5,3,1,0.378,477800,Hollymead,Sutherland,Albemarle,103,19,Average,1
1956,832,No Central Air,2,1,0,0.525,155600,Murray,Henley,Western Albemarle,110,63,Average,0
2009,2021,Central Air,3,2,1,0.154,327300,Brownsville,Henley,Western Albemarle,111,10,Average,1
2007,1402,Central Air,3,2,1,0.046,257900,Baker-Butler,Sutherland,Albemarle,103,12,Average,0
1978,1760,Central Air,3,2,0,0,373100,Hollymead,Sutherland,Albemarle,103,41,Average,1
1996,2973,Central Air,6,4,1,0.514,676200,Stone-Robinson,Burley,Monticello,104.02,23,Average,1
2001,3984,Central Air,7,4,1,9.476,796000,Crozet,Henley,Western Albemarle,101,18,Average,1
2012,1606,Central Air,3,2,1,0.039,282200,Brownsville,Henley,Western Albemarle,111,7,Average,0
1982,2860,Central Air,4,2,1,2,633800,Meriwether Lewis,Henley,Western Albemarle,102.02,37,Average,1
2011,3788,Central Air,4,3,1,22.22,711200,Scottsville,Walton,Monticello,113.01,8,Average,1
2018,2684,Central Air,4,4,1,0.132,653900,Brownsville,Henley,Western Albemarle,111,1,Average,1
2000,1851,Central Air,3,2,0,0.165,384400,Cale,Burley,Monticello,112.02,19,Average,1
1930,1344,No Central Air,2,1,0,2.4,129100,Red Hill,Walton,Monticello,114,89,Average,0
1992,5594,Central Air,4,4,2,23,1186000,Brownsville,Henley,Western Albemarle,112.01,27,Average,1
1971,1342,Central Air,3,1,0,2,212100,Scottsville,Walton,Monticello,113.01,48,Average,1
2003,3479,Central Air,4,4,0,4.15,684200,Meriwether Lewis,Henley,Western Albemarle,101,16,Average,1
1991,1613,Central Air,3,2,1,0.242,300300,Baker-Butler,Sutherland,Albemarle,103,28,Average,1
2000,2168,Central Air,4,3,1,2,340800,Red Hill,Walton,Monticello,112.02,19,Average,0
1905,2280,Central Air,3,2,0,0.978,345700,Brownsville,Henley,Western Albemarle,111,114,Average,0
2004,2879,Central Air,5,3,1,0.256,454400,Cale,Burley,Monticello,112.02,15,Average,0
2013,2050,Central Air,3,2,1,23.53,489900,Broadus Wood,Jouett,Albemarle,102.02,6,Average,0
1976,1260,Central Air,4,2,0,12.618,327500,Stone-Robinson,Walton,Monticello,113.01,43,Average,1
2017,3488,Central Air,4,4,1,0.118,596100,Agnor-Hurt,Burley,Albemarle,106.02,2,Average,1
1968,1386,Central Air,3,2,2,0,216100,Greer,Jouett,Albemarle,108,51,Average,0
1972,1260,No Central Air,3,1,1,1,180200,Broadus Wood,Jouett,Albemarle,102.02,47,Average,1
1924,3280,Central Air,3,2,1,5,493400,Crozet,Henley,Western Albemarle,111,95,Average,1
1999,2345,Central Air,4,2,1,0.442,414500,Cale,Walton,Monticello,113.03,20,Average,1
1992,2022,Central Air,3,2,0,2.73,289900,Broadus Wood,Jouett,Albemarle,101,27,Average,1
1997,2303,Central Air,4,3,1,0.255,423300,Agnor-Hurt,Burley,Albemarle,106.02,22,Average,1
1974,960,No Central Air,3,1,0,1.656,109200,Stone-Robinson,Burley,Monticello,104.01,45,Average,0
1964,1176,No Central Air,3,1,1,1.409,284400,Cale,Burley,Monticello,113.02,55,Average,1
1995,3180,Central Air,5,4,1,0.607,630800,Agnor-Hurt,Burley,Albemarle,106.02,24,Average,1
1979,1924,Central Air,3,2,0,2.06,489000,Murray,Henley,Western Albemarle,110,40,Average,1
2019,2796,Central Air,4,3,1,0.564,513600,Brownsville,Henley,Western Albemarle,111,0,Average,1
2004,3340,Central Air,4,3,1,0.508,625100,Stone-Robinson,Burley,Monticello,104.02,15,Average,1
2003,1614,Central Air,3,3,1,0.065,235200,Baker-Butler,Sutherland,Albemarle,102.01,16,Average,1
1951,1671,No Central Air,4,2,0,0,285900,Crozet,Henley,Western Albemarle,111,68,Average,1
1985,4098,Central Air,5,3,1,2.44,634000,Meriwether Lewis,Henley,Western Albemarle,110,34,Average,1
1990,1973,Central Air,4,2,1,0.197,329700,Baker-Butler,Sutherland,Albemarle,103,29,Average,1
1983,796,Central Air,1,2,0,2.35,262700,Meriwether Lewis,Henley,Western Albemarle,110,36,Average,0
1979,3338,Central Air,3,3,1,2,672000,Meriwether Lewis,Henley,Western Albemarle,110,40,Average,1
1972,1296,No Central Air,4,2,0,2.47,190000,Red Hill,Walton,Monticello,114,47,Average,0
1970,1998,No Central Air,3,2,1,0,321000,Baker-Butler,Sutherland,Albemarle,103,49,Average,1
2015,2815,Central Air,5,5,1,0.132,876600,Greer,Jouett,Albemarle,108,4,Average,1
1994,1460,Central Air,3,2,1,0.152,269600,Cale,Burley,Monticello,112.02,25,Average,1
2002,3310,Central Air,4,3,1,4.141,434700,Baker-Butler,Sutherland,Albemarle,102.01,17,Average,1
2018,3421,Central Air,4,3,1,0.706,642100,Brownsville,Henley,Western Albemarle,111,1,Average,1
1966,1162,No Central Air,3,1,0,10.756,301900,Meriwether Lewis,Henley,Western Albemarle,101,53,Average,1
1972,1152,Central Air,5,1,1,1,156400,Cale,Walton,Monticello,113.03,47,Average,1
1990,2080,Central Air,3,2,1,2.15,315800,Broadus Wood,Jouett,Albemarle,101,29,Average,1
1972,912,No Central Air,3,1,0,2.17,129100,Red Hill,Walton,Monticello,114,47,Average,0
1990,1461,Central Air,3,2,0,2.84,242400,Baker-Butler,Sutherland,Albemarle,102.01,29,Average,1
2018,2630,Central Air,4,3,0,0.689,741300,Cale,Walton,Monticello,112.02,1,Average,1
1985,1004,Central Air,3,1,1,0,180700,Agnor-Hurt,Jouett,Albemarle,107,34,Average,1
1998,2310,Central Air,3,2,0,0.369,433600,Agnor-Hurt,Burley,Albemarle,106.02,21,Average,1
2014,1877,Central Air,3,3,0,0.18,467200,Agnor-Hurt,Burley,Albemarle,106.02,5,Average,1
2018,3754,Central Air,4,3,1,0.459,719600,Cale,Burley,Monticello,112.02,1,Average,1
1987,1184,No Central Air,3,2,1,4.435,257500,Stone-Robinson,Burley,Monticello,104.01,32,Average,1
1973,1811,Central Air,5,3,0,2.39,534300,Meriwether Lewis,Henley,Western Albemarle,110,46,Average,1
2002,2116,Central Air,4,3,1,0,318200,Agnor-Hurt,Burley,Albemarle,106.02,17,Average,1
1985,2367,Central Air,4,2,1,2.142,373000,Broadus Wood,Jouett,Albemarle,102.01,34,Average,1
1984,2254,Central Air,4,2,1,6.43,464300,Brownsville,Henley,Western Albemarle,112.01,35,Average,1
2003,2589,Central Air,4,3,1,3.013,608900,Meriwether Lewis,Henley,Western Albemarle,102.02,16,Average,1
1971,2542,Central Air,5,2,1,0.344,379200,Greer,Jouett,Albemarle,108,48,Average,1
1900,1344,Central Air,2,1,0,0,3117300,Stone-Robinson,Walton,Monticello,113.01,119,Average,0
2004,1754,Central Air,3,2,1,0.038,259000,Brownsville,Henley,Western Albemarle,111,15,Average,1
1971,1092,No Central Air,4,1,1,0,214400,Woodbrook,Jouett,Albemarle,107,48,Average,0
1997,2364,Central Air,3,2,1,6,511500,Meriwether Lewis,Henley,Western Albemarle,101,22,Average,1
2008,3810,Central Air,5,3,1,6.9,684400,Brownsville,Henley,Western Albemarle,112.01,11,Average,1
1998,5058,Central Air,7,7,1,0.673,876200,Stone-Robinson,Burley,Monticello,104.02,21,Average,1
1958,725,No Central Air,2,1,0,0.63,152900,Cale,Walton,Monticello,113.01,61,Average,0
1885,876,No Central Air,3,1,0,0.519,91200,Red Hill,Walton,Monticello,114,134,Average,0
2017,1486,Central Air,3,2,0,0.039,227600,Brownsville,Henley,Western Albemarle,111,2,Average,0
1997,3016,Central Air,4,3,1,0.407,441200,Cale,Walton,Monticello,113.03,22,Average,1
1964,1092,Central Air,0,2,0,1.54,300300,Meriwether Lewis,Henley,Western Albemarle,110,55,Average,0
1985,1120,Central Air,3,1,0,2,140900,Scottsville,Walton,Monticello,113.01,34,Average,0
1985,2220,Central Air,4,2,0,1.1,453200,Murray,Henley,Western Albemarle,110,34,Average,1
2003,2327,Central Air,4,3,0,0.363,377700,Brownsville,Henley,Western Albemarle,111,16,Average,1
1996,3272,Central Air,4,4,0,4.002,437200,Cale,Walton,Monticello,113.01,23,Average,1
1960,1306,Central Air,3,1,0,0.9,149400,Red Hill,Walton,Monticello,112.02,59,Average,1
1983,1344,Central Air,3,2,0,29.45,315500,Red Hill,Walton,Monticello,112.01,36,Average,1
1977,2737,Central Air,3,2,0,6.772,439500,Murray,Henley,Western Albemarle,110,42,Average,0
1986,1344,Central Air,3,1,2,0.708,270800,Greer,Jouett,Albemarle,108,33,Average,1
1993,1332,Central Air,3,3,0,0,279600,Agnor-Hurt,Burley,Albemarle,106.02,26,Average,1
1979,4677,Central Air,3,3,1,5.542,405600,Broadus Wood,Jouett,Albemarle,102.01,40,Average,0
2019,1600,Central Air,3,2,2,0.033,299300,Baker-Butler,Sutherland,Albemarle,103,0,Average,0
1992,1544,Central Air,3,2,1,0.278,290100,Baker-Butler,Sutherland,Albemarle,103,27,Average,1
2001,2114,Central Air,4,2,1,0.156,375400,Cale,Burley,Monticello,112.02,18,Average,1
1968,2048,Central Air,3,3,0,0.793,411500,Stony Point,Burley,Monticello,105,51,Average,1
1992,4599,Central Air,4,3,1,3.704,1425200,Murray,Henley,Western Albemarle,110,27,Average,1
1991,1397,Central Air,3,2,1,0.208,274200,Baker-Butler,Sutherland,Albemarle,103,28,Average,1
1992,1720,Central Air,3,3,0,2.859,264500,Scottsville,Walton,Monticello,114,27,Average,1
1900,2754,Central Air,4,2,1,0,165200,Crozet,Henley,Western Albemarle,111,119,Average,1
1989,2016,Central Air,3,3,1,2.361,416500,Woodbrook,Jouett,Albemarle,106.01,30,Average,1
1981,1290,Central Air,3,1,2,0.171,271300,Greer,Jouett,Albemarle,108,38,Average,1
1997,3597,Central Air,5,3,0,0.686,445600,Woodbrook,Jouett,Albemarle,106.01,22,Average,1
1975,1673,Central Air,3,2,0,0,292600,Agnor-Hurt,Burley,Albemarle,107,44,Average,1
2007,1402,Central Air,3,2,1,0.031,242600,Baker-Butler,Sutherland,Albemarle,103,12,Average,0
2002,1680,Central Air,3,2,1,2,244600,Stony Point,Sutherland,Albemarle,104.01,17,Average,0
1999,2342,Central Air,4,2,1,0.201,402200,Cale,Walton,Monticello,113.03,20,Average,1
1981,1500,Central Air,2,2,1,0,220500,Greer,Jouett,Albemarle,107,38,Average,1
2007,1568,Central Air,3,3,0,2.1,139300,Scottsville,Walton,Monticello,114,12,Average,1
1925,1128,No Central Air,3,1,0,0.171,94500,Brownsville,Henley,Western Albemarle,111,94,Average,0
2016,3185,Central Air,3,3,1,11.72,808800,Meriwether Lewis,Henley,Western Albemarle,101,3,Average,1
1991,1814,Central Air,4,3,0,2,400600,Murray,Henley,Western Albemarle,110,28,Average,1
1988,1354,Central Air,3,2,0,0.343,326400,Cale,Walton,Monticello,113.03,31,Average,0
1992,1938,Central Air,3,2,1,0.328,378300,Cale,Burley,Monticello,112.02,27,Average,1
2009,2366,Central Air,3,2,1,3.7,390900,Brownsville,Henley,Western Albemarle,112.01,10,Average,1
2002,1299,Central Air,2,2,0,0.109,273000,Hollymead,Sutherland,Albemarle,103,17,Average,1
1985,768,No Central Air,2,1,0,2.2,126100,Red Hill,Walton,Monticello,114,34,Average,0
1977,3134,Central Air,4,2,2,2.001,582400,Broadus Wood,Jouett,Albemarle,102.02,42,Average,1
2000,2164,Central Air,4,2,1,2.186,288200,Brownsville,Henley,Western Albemarle,112.01,19,Average,0
1997,2760,Central Air,2,2,0,10.022,276000,Red Hill,Walton,Monticello,114,22,Average,1
1973,1482,No Central Air,4,3,0,2.25,290100,Broadus Wood,Jouett,Albemarle,102.02,46,Average,1
2003,2324,Central Air,4,2,1,0.203,320000,Crozet,Henley,Western Albemarle,111,16,Average,1
1997,2496,Central Air,4,2,1,9.069,461000,Crozet,Henley,Western Albemarle,112.01,22,Average,1
2002,1810,Central Air,3,2,1,0.136,270800,Hollymead,Sutherland,Albemarle,103,17,Average,1
1956,1214,Central Air,3,1,1,0.306,233000,Crozet,Henley,Western Albemarle,111,63,Average,1
1988,1379,Central Air,3,2,0,3.17,271400,Broadus Wood,Jouett,Albemarle,102.01,31,Average,1
1998,3234,Central Air,4,3,0,139.03,883900,Crozet,Henley,Western Albemarle,101,21,Average,1
2018,1298,Central Air,3,2,1,0.061,266400,Baker-Butler,Sutherland,Albemarle,102.01,1,Average,0
1973,1624,No Central Air,3,1,1,3.75,262100,Red Hill,Walton,Monticello,112.02,46,Average,0
1965,842,Central Air,2,1,0,0.476,63900,Scottsville,Walton,Monticello,114,54,Average,0
2009,2988,Central Air,5,4,1,2.505,682500,Meriwether Lewis,Henley,Western Albemarle,110,10,Average,1
1998,1352,Central Air,2,2,0,0.132,247600,Baker-Butler,Sutherland,Albemarle,103,21,Average,1
1992,2832,Central Air,4,2,1,0.32,485500,Murray,Henley,Western Albemarle,110,27,Average,1
1975,1120,Central Air,3,2,0,18.36,233800,Brownsville,Henley,Western Albemarle,112.01,44,Average,0
1997,1604,Central Air,3,2,0,0.29,362300,Cale,Burley,Monticello,112.02,22,Average,1
1996,2401,Central Air,4,2,1,0.348,414100,Agnor-Hurt,Burley,Albemarle,106.02,23,Average,1
2008,1422,Central Air,3,2,1,0.046,252500,Stone-Robinson,Burley,Monticello,105,11,Average,0
1975,1176,Central Air,3,2,0,0.976,271400,Baker-Butler,Sutherland,Albemarle,103,44,Average,1
1972,2226,Central Air,3,2,1,0,280900,Agnor-Hurt,Burley,Albemarle,107,47,Average,1
1995,1893,Central Air,3,2,1,0.186,270000,Crozet,Henley,Western Albemarle,111,24,Average,1
1996,4216,Central Air,5,4,1,0.732,1194600,Stone-Robinson,Burley,Monticello,104.02,23,Average,1
1992,1582,Central Air,4,2,1,0.219,289900,Baker-Butler,Sutherland,Albemarle,103,27,Average,1
1968,1254,Central Air,3,3,0,0.2808,286300,Woodbrook,Jouett,Albemarle,106.01,51,Average,1
