County,State,CKD_number,POP_total,Hypertension,Obesity,Heart_disease,Diabetes,Smoking,Food_Env_Index,Excessive_drinking,Unemployed,Median_household_income,POP_65,POP_Black,POP_White
LOGAN,Illinois,389,23326,29.2,33.6,7.2,10.2,19.1,8.1,18,4.8,58939,18.5,8.7,85.1
MACON,Illinois,483,24839,22.46,32.4,6.9,9.6,19.3,7.4,17,4.9,53024,18.3,5.5,87
MACOUPIN,Illinois,18307,236174,25,32.1,6,9.3,14.5,8.7,18,4.7,92522,15.9,1.6,79
MADISON,Illinois,458,135692,27.23,28.6,5.5,8.2,15.7,8,17,4.6,71309,14.2,8.5,78.6
MARION,Illinois,162,81562,30.53,33.9,8.2,12.3,20,7.4,17,7.7,48245,20.8,18,74.8
MARSHALL,Illinois,779,35669,31.08,33.2,8.2,11.3,20.5,8.1,18,4.5,57755,21.2,1.1,95.7
MASON,Illinois,596,206705,31.33,33.6,7.2,10.6,18.2,7.4,18,4.9,65886,18.1,9,83.9
MASSAC,Illinois,339,28882,36.11,33.6,9,12.4,21.8,7,17,5.8,55292,20.2,4.4,90.4
MC DONOUGH,Illinois,1097,9233,30,35.4,8.7,11.9,19.4,8.3,18,5.6,64132,24,0.7,93.9
MC HENRY,Illinois,962,10746,26.12,34.2,9.3,12.6,21.3,6.9,18,5.4,58828,22.7,0.8,95.5
MC LEAN,Illinois,155,10972,27.02,35.3,9.4,13.2,21.6,7.6,17,5.8,52680,21.6,6.1,87.2
MENARD,Illinois,342,9587,14.29,32.6,7.4,10.4,17.4,8.9,19,4.1,75687,20.5,1,95.1
MERCER,Illinois,989,12263,21.21,35.2,8.3,11.2,19.6,8.1,19,4.9,64731,22,0.7,94.3
MONROE,Illinois,213,26747,23.64,32.1,6.5,9.1,14.6,9.2,19,3.1,93054,19,0.5,95.9
MONTGOMERY,Illinois,486,22862,25.17,34.9,8.7,12,21.1,7.6,18,5.4,59116,20.6,4,92.3
MORGAN,Illinois,127,27568,18.88,35.5,8,11.4,21,7.1,17,5,54644,20.3,7.1,87.1
MOULTRIE,Illinois,191,10978,21.18,32.5,8,10.8,19.9,9.1,19,3.5,69652,18.8,0.8,95.8
OGLE,Illinois,1221,39503,29.95,33.7,7.8,11.2,18.2,8.4,18,5.8,74472,19.4,1.1,85.7
PEORIA,Illinois,761,138002,30.68,37.3,7.3,11.3,17.7,6.9,15,7.2,56460,17.9,18.6,68.6
PERRY,Illinois,1425,17069,23.66,35.1,8.3,11.7,22.8,7,17,5.8,53071,19.3,9.6,84.4
PIATT,Illinois,239,12699,20,31.6,7.1,9.8,16.2,9.3,19,4,81583,20.3,0.8,95.6
PIKE,Illinois,1005,12125,33.01,35.8,9.1,12.5,22,7.5,18,4.1,54474,21.5,1.6,95.3
POPE,Illinois,530,3701,43.48,33.5,9.7,13,22.7,6.5,17,5.1,50404,29.5,5.6,89.5
PULASKI,Illinois,610,4284,22.58,40.6,10.4,17,23.4,6.1,15,9.3,42738,23.8,28.8,64
PUTNAM,Illinois,345,4589,40.74,32.7,8.2,11.4,18.1,8.8,19,5,74798,23.7,0.6,91.2
RANDOLPH,Illinois,11138,25903,24.83,36.6,8.4,12,22.2,8.2,17,4.3,58694,19.3,11.2,83.2
RICHLAND,Illinois,2690,12095,20.59,34.1,8.9,11.9,19.2,8.2,18,4.3,56852,21,1,94.8
ROCK ISLAND,Illinois,2066,111514,32.13,34.6,7.9,11.6,18.2,7.8,17,5.6,58171,20.2,11.2,69.6
SALINE,Illinois,1435,199986,31.47,40.3,7.2,11.9,17.3,7.3,17,6.1,66422,16.9,30.3,60.8
SANGAMON,Illinois,13964,18726,22.08,35.8,9.5,13.1,21.6,7,17,6.6,50914,20.9,3.8,91.5
SCHUYLER,Illinois,2774,152001,25.64,32.9,7.1,10.5,17.2,7.9,17,5.5,68476,18.8,13.3,79.1
SCOTT,Illinois,413,5652,24.14,35.7,9.2,12.7,20.4,7.5,18,3.9,57839,23.6,4.8,91.6
SHELBY,Illinois,873,3863,22.45,33.8,8.4,11.7,19.3,6.8,18,5.1,63510,20.4,0.7,95.4
ST. CLAIR,Illinois,908,17099,32.22,33.7,8.9,11.9,19.7,8.3,18,4.2,55725,23.4,0.5,96.6
STARK,Illinois,688,4260,34.62,33.8,9.4,12.6,20.6,6.6,18,5.5,58265,23,0.9,94.1
STEPHENSON,Illinois,716,35194,30,38.9,9,12.7,19.5,8.3,17,5.5,56263,23.7,10,81
TAZEWELL,Illinois,6106,102333,31.74,32.8,7.2,10,17.9,8,19,5,65427,19.5,1.5,93.3
UNION,Illinois,3312,13301,23.46,36.2,9.1,12.6,20.6,7.8,17,5.7,52384,22.3,1.3,90.9
VERMILION,Illinois,2780,58716,29.6,38.7,9,12.9,22.1,7.3,16,6.5,49825,20,13.7,77.3
WABASH,Illinois,1160,8944,19.12,33.5,8.4,11.4,19.8,8.1,18,4.5,56183,22.4,0.7,94
WARREN,Illinois,6269,13298,20.93,36.2,8,11.5,18.8,8.6,17,4.6,61734,20.3,2.7,82.6
WASHINGTON,Illinois,1029,11002,28.38,33.1,7.8,10.6,18.1,8.9,19,3,66746,21.3,1,95.6
WAYNE,Illinois,314,12624,21.78,33.9,9,12.1,21.4,7.5,18,4.7,51669,21.8,0.6,95.9
WHITE,Illinois,384,10677,26,35.8,9.1,12.3,21.5,8,17,5,50653,21.5,0.7,95.9
WHITESIDE,Illinois,409,43426,26.85,34.4,8.1,11.9,18.3,8.2,18,4.8,56805,21.7,1.5,83.5
WILL,Illinois,287,520167,28.61,33.3,5.6,9.7,14.2,8.7,16,5.7,93994,14,12,61
WILLIAMSON,Illinois,398,52407,27.92,34.3,7.8,11.3,18.7,7,18,5.5,55447,19.7,4.7,88.9
WINNEBAGO,Illinois,721,217591,31.32,32.9,7.8,11.9,19.6,7.4,16,8.4,57113,18.3,13.6,66.3
WOODFORD,Illinois,775,29215,35.44,31.3,6.8,9.3,15.8,8.9,19,4,85085,18.8,0.7,95
ADAMS,Indiana,890,24482,28.87,35.3,8.5,12.9,24.8,7.9,18,2.2,62282,16,0.6,93.3
ALLEN,Indiana,347,278944,30.94,38,7.2,12.4,20.5,7.2,17,3.7,62680,15.2,11.5,72
BARTHOLOMEW,Indiana,1243,63064,27.49,31.9,7.1,11.8,18.8,7.3,16,2.9,72458,16.6,2.1,79.9
BENTON,Indiana,4357,6508,31.11,37.6,8.9,13.9,23.6,8.1,18,2.7,60738,17.8,0.8,91.1
BLACKFORD,Indiana,562,9333,29.41,34.7,9.3,14.1,24.4,6.8,18,3.7,47553,21.9,0.8,94.8
BOONE,Indiana,363,49281,28.8,29.3,5.6,9.5,14.3,9,18,2.1,98047,14.2,2.5,88.2
BROWN,Indiana,432,12502,41.18,33.7,8.8,13.6,19.2,8.6,19,3.2,66839,25.8,0.6,95.1
CARROLL,Indiana,136,15676,36.76,37.5,8.5,13,21.8,8.6,19,2.9,57019,20,0.8,92.9
CASS,Indiana,192,29203,25.63,36.6,8.7,14.1,23,8,17,3.6,53813,18.6,2.1,77.1
CLARK,Indiana,147,90984,30.39,37.9,7.3,12.3,20.6,8.1,18,3.2,62822,16.3,8.2,81.7
CLAY,Indiana,866,20146,32.56,35.8,8.3,13.3,22.2,7.7,18,3.6,64245,18.9,0.7,95.3
CLINTON,Indiana,422,23796,32.43,36.9,8.1,13.3,22,8.4,17,2.8,60609,17,0.9,80.6
CRAWFORD,Indiana,3661,8283,28,38.7,9.9,15.3,27.2,7.1,17,3.7,52031,20.4,0.7,95.3
DAVIESS,Indiana,6516,23435,27.52,32,8.5,13.2,25.1,8.3,18,2.3,59888,15.6,2.1,90.3
DE KALB,Indiana,708,38506,15,34.1,7.7,12.2,20.5,7.8,19,3,73150,18.7,0.7,95.9
DEARBORN,Indiana,4656,20239,27.27,32.9,7.7,12.2,20.7,7.9,18,2.8,64871,17.2,0.7,94.4
DECATUR,Indiana,201,32765,24.56,33.4,7.4,11.8,21.2,7.6,19,2.7,65059,16.9,0.6,94.3
DELAWARE,Indiana,127,93698,29.96,33.5,7.6,12.1,22.5,6.5,17,3.9,50533,17.2,7.1,86.2
DUBOIS,Indiana,585,32288,23.71,33.2,7.6,11.7,18.9,8.6,20,2.4,67615,18.5,0.8,88.7
ELKHART,Indiana,154,148995,29.9,35.4,7.5,12.6,21,7.6,17,2.5,62233,15.3,5.6,73.2
FAYETTE,Indiana,1280,18073,46.5,38.7,9.7,15.2,25.8,6.6,18,4.4,50642,20.7,1.4,95.2
FLOYD,Indiana,3014,60172,28.03,30.6,6.8,11.3,18.5,8.1,18,2.8,67330,16.9,5.6,86.7
FOUNTAIN,Indiana,478,12783,26.8,34.6,8.7,13.4,23,7.9,18,2.9,55195,20.3,0.6,94.5
FRANKLIN,Indiana,2105,17505,23.08,33.9,8.3,12.7,21.3,8.5,19,2.7,61261,19.5,0.4,96.6
FULTON,Indiana,296,15392,28.74,36.9,8.6,13.5,23.2,7.8,18,3.3,57400,20.3,0.9,91.1
GIBSON,Indiana,430,25607,23.36,36.1,7.8,12.1,21.3,8.4,18,2.5,60592,17.9,2.6,92.3
GRANT,Indiana,338,52329,25.27,38.3,8.8,14.5,23,7,17,3.7,50248,19.6,7.3,84.1
GREENE,Indiana,441,24987,26.71,39,9.1,14.4,22.8,7.5,18,3.4,55504,20,0.3,95.9
HAMILTON,Indiana,379,241033,23.86,27.5,5.1,9,11.3,8.9,18,2.2,108203,13.3,4.7,81.5
HANCOCK,Indiana,1438,58490,31,34,6.6,11.1,19.1,8.2,20,2.6,80326,16.7,3.6,90.4
HARRISON,Indiana,13365,31258,23.6,37.2,7.9,12.6,21.6,8.6,18,2.7,66989,18.8,0.7,94.9
HENDRICKS,Indiana,1677,125229,25.95,30.7,5.9,10.1,16.5,8.6,19,2.5,90298,14.5,9.3,80.4
HENRY,Indiana,7194,38394,24.18,36.4,8.8,13.3,23,7.4,19,3.2,52994,19.3,2.8,93
HOWARD,Indiana,812,63686,28.48,34.7,8.5,13.3,21.8,6.8,18,6.2,56268,19.7,8,83.7
HUNTINGTON,Indiana,811,28428,41.67,36.4,7.7,12.6,21.9,7.4,19,3,55546,17.8,0.7,94.1
JACKSON,Indiana,8368,33276,21.85,39.9,8.4,13.5,22.2,7.1,18,3,61943,16.9,1.3,86.2
JASPER,Indiana,1785,25626,30.6,34.1,7.7,12.2,22,8.2,19,3.5,74336,18.3,0.9,90.7
JAY,Indiana,224,15461,24.75,37.4,9.1,14.3,24.5,7,18,2.7,52315,18.6,0.7,94.1
JEFFERSON,Indiana,329,25644,21.34,33.2,7.9,12.7,23.5,7.6,18,3.1,59333,18.8,2,92.2
JENNINGS,Indiana,1186,21250,21.74,37.3,8.4,13.5,22.7,7.2,18,3.7,61964,17,0.8,94.1
JOHNSON,Indiana,423,117512,30.39,33.5,6.2,10.5,18.2,8.3,19,2.6,79914,15,3,86
KNOX,Indiana,504,28974,22.51,36.9,8.3,13.3,22.8,7.7,18,2.8,56564,18.6,2.9,91.6
KOSCIUSKO,Indiana,995,60427,29.03,33.7,7.4,11.9,20.2,8.2,18,2.7,66525,17.7,1,87.2
LA PORTE,Indiana,2693,26551,25.32,32.5,8,12.5,25.4,8.9,18,2,80335,14.3,0.5,93.7
LAGRANGE,Indiana,643,371217,16.88,40.9,7.7,14.7,20.3,7.1,18,6.1,61468,17.3,23.3,53
LAKE,Indiana,759,86446,27.75,39,8.6,14.7,23.2,7.1,17,5.1,62620,18.7,11.4,78
LAWRENCE,Indiana,303,35728,25.69,34.6,8.8,13.5,22.1,8,19,3.5,52557,20.4,0.5,95.2
MADISON,Indiana,779,101603,30.21,40.3,8.6,14.6,23.7,6.4,18,4.1,54026,18.6,8.4,84
MARION,Indiana,1157,719459,31.84,33.1,6.6,12.2,21.4,6.9,18,4.4,58737,13.1,28.8,52.7
MARSHALL,Indiana,606,34658,26.95,37,8.4,13.2,21.8,8,17,2.7,68799,18.7,0.6,86.5
MARTIN,Indiana,957,7938,14.81,38.5,9,13.7,23,8.1,18,2.5,61520,20.6,0.4,96.4
MIAMI,Indiana,2891,28077,32.47,37.1,8.9,13.9,24.2,6.9,17,4.4,56867,18,5,87.9
MONROE,Indiana,964,123951,26.7,27.1,5.8,9.2,18.7,7.6,20,2.9,53166,14,3.7,82.8
MONTGOMERY,Indiana,4647,29563,29.14,36.1,8,12.4,22.1,8.1,20,2.6,57997,18.4,1.1,91.1
MORGAN,Indiana,658,54270,30.8,38.2,7.8,13,21.1,8.2,20,2.9,69203,17.8,0.7,95.3
NEWTON,Indiana,1708,11057,28.26,37.3,9.2,14.6,23.2,7.7,18,3.8,61336,20.3,1,89.4
NOBLE,Indiana,423,35928,35.85,35.8,7.6,12.2,21.2,8.2,19,3.3,65979,17.1,0.9,86.5
OHIO,Indiana,547,4733,24,32.3,8.3,12.9,21.9,,19,2.5,64947,22.8,0.7,95.4
ORANGE,Indiana,508,15064,23.88,37.2,9.7,14.5,24,7.5,18,4.2,52910,20.4,1.6,94.4
OWEN,Indiana,782,16452,23.44,35.6,9.4,14.7,24.3,8,18,3.6,57716,20.3,0.6,95.7
PARKE,Indiana,1823,13280,35.21,39.2,8.9,13.8,25.3,7.6,18,2.9,55683,19.7,2.8,93.9
PERRY,Indiana,853,15089,29.35,34.7,8.6,13,22.5,7.6,19,3.1,58097,19,3.1,93.3
PIKE,Indiana,5371,9682,16.67,35.2,8.8,13.7,22.1,8.5,19,3.4,52093,20.3,0.7,95.8
PORTER,Indiana,1587,132170,24.83,33.3,7,12,17.6,7.8,18,3.9,80878,17.5,4.5,81.3
POSEY,Indiana,959,19913,28.4,36,7.8,12.4,20.1,8,19,2.6,74102,20.2,1.1,95.5
PULASKI,Indiana,3084,9690,24.14,35,9,13.9,23.1,8,18,2.9,58239,20.4,0.9,93.2
PUTNAM,Indiana,1268,30379,23.23,33.7,7.3,12.2,21.8,8.3,18,3.1,61223,16.8,3.8,91.1
RANDOLPH,Indiana,2137,19193,27.08,33.3,9.4,13.9,22.9,7.5,18,2.9,50809,20.7,0.7,93
RIPLEY,Indiana,858,21768,24.03,33.9,8,12.5,21.5,8.3,19,2.8,65893,18.6,0.5,95.5
RUSH,Indiana,1073,12874,22.86,36.9,8.9,13.7,23.9,7.7,18,2.8,60486,19,0.9,95.3
SCOTT,Indiana,769,206766,26.04,35,7.2,12.5,19.3,7.3,17,4.2,59325,16.5,13.2,71
SHELBY,Indiana,539,18473,30.77,37.6,8.6,13.5,26.3,6.4,17,3.9,54747,16.8,0.6,94.6
SPENCER,Indiana,798,34423,17.53,38,7.9,12.9,22.4,7.9,19,3,64528,18,1.4,91.1
ST. JOSEPH,Indiana,683,15887,24.69,35.2,8.3,13,21.9,8.7,20,2.7,62311,20.4,0.7,94.3
STARKE,Indiana,3087,17706,33.03,40,9.1,14.7,25.3,7.8,18,4.3,57994,19.5,0.5,93.3
STEUBEN,Indiana,935,27467,17.97,36.3,8.3,12.9,21,7.5,18,2.5,65407,21.6,0.8,93
SULLIVAN,Indiana,1793,16711,27,40.5,8.3,13.4,25.1,7.6,18,3.8,47606,18.5,5.1,91.2
SWITZERLAND,Indiana,823,8072,30,40.4,9.6,14.9,27.7,7,18,3.5,57362,18.4,1.2,95.3
TIPPECANOE,Indiana,12591,153065,38.18,28.2,5.4,9.5,18.3,6.5,18,3.3,55192,12.1,6,74.3
TIPTON,Indiana,2885,11993,26.09,34.6,8.4,12.9,20,7.9,19,3,67866,21.8,0.7,94.2
UNION,Indiana,1197,5613,15.91,36.2,8.5,13.2,21.5,,18,2.4,65572,20.3,1.1,94.2
VANDERBURGH,Indiana,3420,141927,29.39,34.4,7.7,12.7,21.2,6.8,19,3.6,53795,17.6,9.9,82.3
VERMILLION,Indiana,22519,12100,31.82,34.8,8.7,13.5,23.7,7.7,18,4,53540,20.4,0.6,95.9
VIGO,Indiana,1139,85421,33.79,32.2,7.6,12,23.6,5.7,17,4.3,48421,16.7,7.2,84.9
WABASH,Indiana,268,24768,21.24,31.9,8.7,13.2,22.2,7.7,18,2.9,62193,20.9,0.9,93.7
WARREN,Indiana,939,6408,22.22,35.6,8.3,12.9,20.4,8.4,19,2.6,63154,21.1,0.4,94.8
WARRICK,Indiana,3070,47646,26.92,31.6,7,11.5,17.5,8.4,19,2.6,83005,17.9,1.9,91.2
WASHINGTON,Indiana,921,21559,30.34,37.4,8.4,12.9,24.6,7.8,18,3.1,57348,18.1,0.6,96.5
WAYNE,Indiana,1641,51461,43.24,36.2,8.7,14,22.9,6.2,18,3.6,50569,19.3,4.8,87.2
WELLS,Indiana,383,21224,42.17,32.4,8,12.7,21.5,7.5,19,2.6,66102,18.7,0.9,93.5
WHITE,Indiana,1073,18486,36.29,35.9,8.5,13.7,21.1,8.7,19,2.6,62151,21,0.6,88.5
WHITLEY,Indiana,149,26175,15.56,31.5,7.6,11.9,20.3,8.6,19,2.7,64146,18.9,0.6,94.7
ADAIR,Iowa,540,5535,21.21,35.4,8.5,11.5,18.3,8.8,24,3.1,60847,22.2,0.8,94.5
ADAMS,Iowa,575,2877,25,39.1,8.5,11.5,19.1,8.8,24,3,54403,23.9,0.7,95.5
ALLAMAKEE,Iowa,449,10580,46.34,38.8,8.9,12,18.5,8.9,25,4.6,60717,23.3,1.7,89.1
APPANOOSE,Iowa,486,9663,33.33,41.9,9.3,12.8,22,7.6,22,4.3,51222,23.6,0.7,94
AUDUBON,Iowa,323,4381,25.71,36.3,8.9,11.8,18.8,8.9,24,3.2,69484,25,0.6,95.2
BENTON,Iowa,3690,19654,25,36.5,7.3,10.4,18,9,24,4.5,78155,18.9,0.7,95.5
BLACK HAWK,Iowa,600,103598,23.16,32.6,6.6,9.6,17.9,7.9,25,4.6,60716,17.4,9.5,79.6
BOONE,Iowa,329,20739,24.55,36.1,7.1,9.9,17,9.3,26,3.5,69888,19.1,1.2,93.8
BREMER,Iowa,871,19380,25.95,36.1,6.7,9.2,15.2,9.6,25,3.2,75395,19.5,1.3,94.2
BUCHANAN,Iowa,673,15668,29.58,37.4,7.3,10.3,17.5,9.1,27,3.7,64503,18.4,0.7,95.5
BUENA VISTA,Iowa,670,14814,19.51,34.3,7.5,11.5,18.7,8.9,20,3.2,60576,16.2,3.4,54.9
BUTLER,Iowa,436,11268,27.03,36.7,8.1,11.1,18.1,9,25,3.8,65284,22.8,0.3,95.7
CALHOUN,Iowa,6329,7616,26.67,34.7,8.6,11.5,18.3,8.4,24,3.9,59643,23.3,2.7,93
CARROLL,Iowa,609,15215,33.04,33.8,7.6,10.1,18.1,9.3,26,3.1,65598,20.9,1.2,93.8
CASS,Iowa,1063,10043,21.05,35.2,9,12.3,18.7,8.2,24,3.7,55909,23.3,0.5,93.7
CEDAR,Iowa,504,14510,21.25,40.3,7.2,10,18,9.1,25,3.8,75894,20.5,0.9,94.4
CERRO GORDO,Iowa,617,33828,25.56,36.3,7.8,10.8,17.7,8.6,24,4.3,55465,22.8,2,89
CHEROKEE,Iowa,859,8853,25.93,34.4,8.7,11.6,17.7,8.6,24,3.4,64286,24.4,1.2,91.8
CHICKASAW,Iowa,537,9149,25.42,35,8,11.2,18.4,9.1,26,3.6,67667,21.4,0.6,94.7
CLARKE,Iowa,286,6993,30.3,37.1,8.1,11.5,21,8.3,22,4.3,58483,18.9,1,79.5
CLAY,Iowa,3676,12482,26.89,32.7,8,10.9,16.8,8.6,25,3.6,60162,21.9,0.9,92.4
CLAYTON,Iowa,381,13851,41.18,37.8,9,12.2,20,8.7,24,5.1,56076,24.6,0.9,95.4
CLINTON,Iowa,183,35916,23.28,34.2,8.3,11.5,19.9,7.8,23,5.3,60528,20.2,3,90.2
CRAWFORD,Iowa,4493,12835,7.46,39.4,8.2,11.9,19,7.6,22,5.2,58874,18,3.2,62.6
DALLAS,Iowa,402,65139,23.12,29.8,4.6,7.1,12.4,9.6,23,2.9,94467,12.4,3.1,83.3
DAVIS,Iowa,2649,6370,21.74,34.7,8.2,11.3,20.1,9.1,24,3.3,75730,18.1,0.2,96.3
DECATUR,Iowa,831,6163,32.5,32.4,8.4,11.2,19.7,8.4,23,3.3,48666,20.5,2.1,91.5
DELAWARE,Iowa,203,13038,23.81,39.2,8,11.3,17.8,9.3,25,3.3,69767,20.5,0.9,96.1
DES MOINES,Iowa,1338,30332,18.89,35.8,8.3,12.3,20.2,7.7,25,6.3,53917,21.3,6.2,86.1
DICKINSON,Iowa,692,13865,26.92,34.3,8.1,11.3,15.9,9.1,26,3.9,67949,27.1,0.6,94.2
DUBUQUE,Iowa,1780,74817,20,34.9,6.7,9.6,15.6,8.6,27,4.4,73968,18.7,3.7,89.6
EMMET,Iowa,662,7342,31.34,36.4,8.3,11.4,17.3,8,24,4.1,52000,22.2,1.1,86.3
FAYETTE,Iowa,600,15568,33.33,36.7,8.4,11.6,19.4,8.7,23,4.7,56366,22,1.5,92.9
FLOYD,Iowa,771,12121,25.69,37.8,8.7,12,17.9,8.1,23,4.3,59638,22.1,2.5,90.1
FRANKLIN,Iowa,183,7775,30.61,41.9,8.8,12.6,18.8,8.6,23,3.7,60269,22.4,0.8,83.7
FREMONT,Iowa,95,5426,20.45,37,8.7,11.6,18.5,6.9,25,2.9,68622,23.1,0.9,93.7
GREENE,Iowa,362,6903,24.07,38.3,8.4,11.4,18.2,8.6,24,3.4,57737,23.4,0.7,93.8
GRUNDY,Iowa,350,9486,24.24,35.8,7.3,9.8,15.5,,25,3.6,71652,21.1,0.6,96.3
GUTHRIE,Iowa,152,8319,20.29,37.6,8.3,11.3,17.8,9,24,4.2,66112,23.5,0.8,94.4
HAMILTON,Iowa,578,11563,12,35.9,7.6,10.5,16.6,9.2,25,4.2,64292,21.1,1,87.7
HANCOCK,Iowa,2944,8387,22,34.8,8,10.6,17.6,8.8,24,3.8,61544,23.6,0.7,92.2
HARDIN,Iowa,604,13501,17.43,34.7,8.1,11.1,17.8,9,23,4.2,58126,23.3,1.6,91.5
HARRISON,Iowa,531,10856,37.33,34.2,8,11.2,18.5,8.7,25,3.9,67433,19.5,0.5,95.4
HENRY,Iowa,454,15733,22.32,36.7,7.4,10.6,18,8,24,4.2,61112,19.6,2.7,87.5
HOWARD,Iowa,464,6909,33.33,36,8.4,11.3,18.4,8.4,24,3.8,58857,20.2,0.8,95.4
HUMBOLDT,Iowa,357,7312,30.23,34.5,8.5,11.5,18.4,8.2,24,3.5,69252,21.3,0.9,92
IDA,Iowa,256,5185,29.51,34.6,8.2,11,18.9,9.2,24,3.2,58792,21.3,0.6,93.4
IOWA,Iowa,463,12383,27.85,37.8,7.4,10.6,17.1,9.4,25,3.8,66613,19.4,0.7,94.4
JACKSON,Iowa,353,15101,33.82,36.1,8.2,11.4,19.3,8.4,25,5,61307,21.6,0.7,94.8
JASPER,Iowa,419,28801,21.71,37.4,7.5,10.9,18.8,8.8,25,4.3,65714,19.3,2.3,92.5
JEFFERSON,Iowa,1093,15523,17.2,31,7.4,10.4,16.7,8.1,22,4.2,52763,24.4,2.2,81.2
JOHNSON,Iowa,306,121077,22.07,28.4,4.8,7.4,13.5,9,22,3.7,68664,12.9,8,77
JONES,Iowa,287,16305,17.72,37,8.1,11.4,19.1,8.7,23,4.5,62810,21.3,2.6,93.3
KEOKUK,Iowa,229,7879,23.61,37.1,8.3,11.2,18.9,8.1,25,4.4,56843,22.1,0.8,95.3
KOSSUTH,Iowa,401,11640,19.8,38.6,8.7,12,17.8,8.6,23,3.3,62571,24.7,0.9,92.8
LEE,Iowa,482,26758,29.81,36.6,8.3,11.9,19.9,7.5,26,5.9,56001,21.4,3,90.2
LINN,Iowa,1160,173399,29.74,35.1,6.1,9.3,14.9,8.6,23,5,70464,16.7,6.3,84.3
LOUISA,Iowa,430,8643,34.69,36.1,8,12,18.3,9.4,24,4.3,64151,19.8,1.3,77.7
LUCAS,Iowa,1410,6637,18.42,37.4,8.7,11.9,20.6,7.8,24,3.1,64796,22.1,0.5,95.1
LYON,Iowa,206,8464,25.4,33.9,7.1,10,17.8,9.7,24,2.3,70654,18.7,0.3,94.5
MADISON,Iowa,207,12202,25.35,37.2,6.6,9.3,16.2,9.2,26,4.5,82730,17.3,0.6,94.4
MAHASKA,Iowa,412,16734,25,31.7,7.7,10.9,19.6,8.1,22,3.7,62776,18.1,2,92.1
MARION,Iowa,1019,25515,26.75,36.5,7,9.6,16.3,9,24,3.1,69307,18.6,0.9,94
MARSHALL,Iowa,453,29872,28.5,35.9,7.9,11.3,17.2,8.1,21,6.5,63541,18.1,2.1,67.2
MILLS,Iowa,2111,11510,41.33,35.9,7.2,10.1,16.5,9.1,25,3.5,76917,19.8,0.7,93.3
MITCHELL,Iowa,243,8073,28.57,37.8,8.6,11.3,18,8.7,24,3,61719,20.8,0.6,96
MONONA,Iowa,513,6763,23.91,36.2,9.5,12.6,19.5,8.3,25,4.4,56394,24.2,0.6,93.8
MONROE,Iowa,418,5942,25.93,37.2,8.7,12.1,18.8,8.7,23,4.1,62014,19.9,0.8,94.7
MONTGOMERY,Iowa,270,7729,23.53,37.3,9.1,12.5,19.9,8.2,25,4.1,53399,22,0.7,92.9
MUSCATINE,Iowa,186,32238,28.48,38.7,7,10.5,17.4,8.8,23,4.7,63519,17.7,2.7,75.9
OBRIEN,Iowa,227,10548,28.4,34,8,10.8,18.5,8.8,24,3,62959,20.9,1.2,90.9
OSCEOLA,Iowa,278,4599,31.71,37.8,8.6,11.9,18.7,8.5,24,2.4,62624,22.8,0.9,86.6
PAGE,Iowa,274,12300,32.04,38.4,8.3,11.5,19.1,8.6,23,4.1,55317,22.9,3.1,89.8
PALO ALTO,Iowa,356,6892,28.26,36.5,7.9,10.6,16.6,8.7,26,3.3,57866,22.5,1.7,92.6
PLYMOUTH,Iowa,265,18823,40.44,36.6,7.2,10.2,16.9,9.3,24,3,74002,19.1,1.8,89.5
POCAHONTAS,Iowa,431,5196,24.14,35.9,9.2,12.1,19.5,8.4,24,3.1,59634,23.6,1,91.2
POLK,Iowa,342,365889,25.25,35.1,5.7,9.1,16.2,8.7,24,4.5,73276,13.7,7.5,75.7
POTTAWATTAMIE,Iowa,469,71503,32.47,38.6,7.3,10.5,20.5,8.1,25,4.3,66144,18.3,1.8,86.1
POWESHIEK,Iowa,226,15056,17.02,38.5,7.3,10.2,17.7,9,23,4.4,60542,21.1,1.4,91.3
RINGGOLD,Iowa,245,3801,20,37.3,9.1,12,19.2,8.9,23,3.4,52849,23.9,0.7,94.5
SAC,Iowa,168,7543,24.66,38.7,8.6,11.4,18.8,9.1,25,3.3,66007,23.9,0.5,93.4
SCOTT,Iowa,371,132203,28.83,36.7,6.6,9.9,15.1,8.7,25,5.4,66443,17.1,7.8,78.6
SHELBY,Iowa,487,8975,36.36,33.5,8.5,11.5,17.6,8.9,25,3.2,64534,22.8,0.8,93.3
SIOUX,Iowa,867,25476,25.81,30.9,6.1,8.7,15.2,10,22,2.4,84283,16.2,0.5,86.1
STORY,Iowa,468,81860,24.18,28.4,4.8,7.3,14.4,8.3,22,3,65137,13,3,83.4
TAMA,Iowa,2667,12829,23.53,35.7,8.2,11.8,19.7,8.5,23,4.7,61660,20.4,0.8,78.5
TAYLOR,Iowa,524,4736,27.91,35,9,12.3,18.1,9.4,25,3.1,54458,22.7,0.4,89.2
UNION,Iowa,258,9615,26.92,36,8.4,12.1,19.2,8.2,24,4.5,55698,20.9,1.3,93.5
VAN BUREN,Iowa,394,5419,14.71,36.8,9,12.4,20.6,8,23,3.8,53210,22.2,0.2,96.1
WAPELLO,Iowa,891,27274,30.08,35.9,8.1,11.8,20.1,6.2,22,5,55297,18.4,3.9,78.6
WARREN,Iowa,4608,38399,22.16,35.9,5.9,8.9,15.1,9.2,26,3.7,85704,16.2,0.9,93.1
WASHINGTON,Iowa,280,16648,25.66,32.9,7.6,10.6,17.7,9.1,23,3.8,65761,19.8,0.9,89.6
