A_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,A_Depth,A_Ag,A_Al,A_As,A_Ba,A_Be,A_Bi,A_C_Tot,A_C_Inorg,A_C_Org,A_Ca,A_Cd,A_Ce,A_Co,A_Cr,A_Cs,A_Cu,A_Fe,A_Ga,A_Hg,A_In,A_K,A_La,A_Li,A_Mg,A_Mn,A_Mo,A_Na,A_Nb,A_Ni,A_P,A_Pb,A_Rb,A_S,A_Sb,A_Sc,A_Se,A_Sn,A_Sr,A_Te,A_Th,A_Ti,A_Tl,A_U,A_V,A_W,A_Y,A_Zn
C-350416,8108,KY,37.2178,-85.6487,6/9/2010,Planted/Cultivated,Pasture/Hay,0-2,<1,2.82,7.8,265,0.7,0.16,3.63,N.D.,3.63,0.18,<0.1,57.8,9.6,38,<5,8.6,1.57,6.27,0.03,<0.02,0.67,26.4,22,0.14,552,0.98,0.16,11.7,9.5,400,16.2,53.3,0.04,0.56,4.3,0.4,1,37.6,<0.1,8.4,0.36,0.4,2.9,39,1,12.5,39
C-350417,8364,KY,36.8646,-84.3477,6/3/2010,Forested Upland,Deciduous Forest,0-3,<1,2.74,3.5,300,0.9,0.11,11.5,N.D.,11.5,0.37,0.2,59.2,9.3,28,<5,7,0.95,6.28,0.1,<0.02,0.61,26.4,15,0.14,1400,0.49,0.09,10.4,11.7,440,21.3,50.2,0.05,0.4,3.8,0.5,1.2,51.2,<0.1,6.4,0.28,0.3,2,30,0.8,10.1,42
C-350418,8508,KY,36.9868,-86.4251,6/11/2010,Developed,High Intensity Residential,0-8,<1,5.33,9.7,419,1.7,0.22,3.33,N.D.,3.33,0.49,0.4,99.4,19.7,67,<5,24.1,3.38,12.2,0.07,0.04,1.01,40.2,88,0.26,2090,1.21,0.19,12.5,39.7,960,32.7,89.5,0.05,1.11,8,0.4,1.5,56.4,0.1,11,0.34,0.7,3.8,87,1.2,27,144
C-350419,8620,KY,38.6551,-84.3992,6/17/2010,Planted/Cultivated,Pasture/Hay,0-2,<1,7.09,4.9,409,2.2,0.22,5.58,0.8,4.8,3.09,<0.1,76.4,16.4,53,6,23.5,4.26,16.9,0.03,0.06,3.05,38.6,51,0.92,684,0.49,0.43,14.5,30.2,1330,12.1,132,0.06,0.36,12.5,0.2,2,102,<0.1,11.3,0.42,0.6,3.1,83,1.1,24.6,80
C-350422,9068,KY,36.7639,-84.679,6/3/2010,Forested Upland,Deciduous Forest,0-4,<1,1.98,3,167,0.6,0.13,10.9,N.D.,10.9,0.22,0.1,38.9,3.3,34,<5,6.9,0.87,4.67,0.11,<0.02,0.35,19.9,15,0.12,658,0.55,0.04,8.6,8.7,520,20.2,28.9,0.06,0.45,2.9,0.4,1,30.8,<0.1,5.1,0.26,0.2,1.6,25,0.8,9.3,32
C-350423,9132,KY,36.7617,-83.7781,6/3/2010,Forested Upland,Deciduous Forest,0-5,<1,2.29,3.9,223,0.6,0.12,17.3,N.D.,17.3,0.08,<0.1,37.1,3.8,22,<5,7.9,1.11,6.4,0.09,0.02,0.54,18,12,0.1,115,0.52,0.05,6.6,8,690,29.6,33.7,0.08,0.42,3.8,0.5,1.2,35.8,<0.1,4.6,0.17,0.2,1.5,28,0.6,6.3,37
C-350424,9276,KY,36.9112,-88.3806,6/13/2010,Planted/Cultivated,Pasture/Hay,0-1,<1,4,8.1,491,1,0.18,4.27,N.D.,4.27,0.34,0.1,68,11.7,36,<5,20.6,2.12,9.59,0.03,0.03,1.44,31.3,22,0.28,617,1.11,0.44,11.3,18.3,970,19,64.7,0.06,0.73,6,0.4,1.2,76.3,<0.1,10.3,0.33,0.5,3.4,59,1.1,15.6,77
C-350425,9388,KY,37.7134,-85.0197,6/8/2010,Planted/Cultivated,Pasture/Hay,0-5,<1,5.01,8.3,402,1.4,0.22,5.35,N.D.,5.35,0.38,0.3,59.8,11,51,<5,21.5,3.67,12.5,0.09,0.05,1.14,28.9,32,0.44,585,1.13,0.28,13.4,20.8,2100,81.5,55.3,0.08,0.96,9.1,0.5,2.3,58.7,<0.1,10.8,0.42,0.5,3.2,73,1.2,14.8,267
C-350427,9644,KY,38.128,-84.9519,6/16/2010,Planted/Cultivated,Pasture/Hay,0-20,<1,3.43,6.7,366,1.3,0.13,1.42,N.D.,1.42,0.14,<0.1,72,16.4,32,<5,10.4,2,7.95,0.04,0.03,0.99,33.1,21,0.2,1250,0.87,0.23,11.9,16.4,690,22,46.8,0.02,0.55,5.3,0.4,1,48.4,<0.1,8.7,0.38,0.4,2.9,52,1.1,18.4,49
C-350428,9900,KY,38.2415,-83.0607,6/5/2010,Forested Upland,Deciduous Forest,0-2,<1,2.22,2.4,327,0.7,0.08,9.72,N.D.,9.72,0.19,0.1,39.1,12.6,16,<5,6.5,0.69,4.95,0.07,<0.02,0.91,18.6,13,0.11,988,0.46,0.15,6.9,9.2,430,16.9,39.1,0.04,0.34,2.6,0.4,1,40.8,<0.1,4.6,0.19,0.3,1.4,23,0.7,8,34
C-350429,10056,KY,36.527,-89.0726,6/12/2010,Planted/Cultivated,Row Crops,0-20,<1,4.69,11.1,602,1.3,0.2,0.84,N.D.,0.84,0.51,0.1,71.9,15.2,39,<5,16.1,2.83,11.8,0.04,0.04,1.33,32.9,22,0.34,1100,1.37,0.72,12.2,18.1,830,24.6,66.5,0.03,1.14,6.4,0.5,1.2,98.5,<0.1,12,0.33,0.6,3.7,76,1.1,15,60
C-350430,10156,KY,37.8528,-86.1313,6/15/2010,Planted/Cultivated,Row Crops,0-20,<1,4.79,10.4,376,1.1,0.19,1.26,N.D.,1.26,0.32,0.1,65.3,10.8,47,<5,18.1,3.01,11.4,0.02,0.04,1.24,28.3,43,0.31,335,1.37,0.33,11.5,23.9,440,19.8,64.5,0.03,0.77,7.7,0.4,1.5,61.1,<0.1,10.6,0.34,0.6,3.8,76,1,15.1,78
C-350431,10300,KY,36.9542,-87.3593,6/12/2010,Forested Upland,Deciduous Forest,0-4,<1,2.02,4.7,169,0.6,0.1,2.69,N.D.,2.69,0.19,0.1,33.8,6.6,33,<5,6.8,1.07,4.7,0.06,<0.02,0.53,15.4,13,0.15,507,0.48,0.12,5.7,11,350,28.8,30.6,0.03,0.36,3.3,0.2,1.1,39.8,<0.1,4.7,0.18,0.2,1.3,29,0.5,7.9,45
C-350432,10412,KY,37.5477,-84.4306,6/8/2010,Planted/Cultivated,Pasture/Hay,0-18,<1,4.54,19.2,402,1.9,0.24,1.9,N.D.,1.9,0.23,0.3,73.4,25.2,68,<5,103,4.29,12.2,0.06,0.05,1.3,32.7,26,0.36,1330,18.7,0.17,13.3,49.4,1260,36.7,71.9,0.04,2.96,9,2.1,1.6,50.7,0.2,11.1,0.4,0.8,7.1,183,1.2,17.4,139
C-350433,10476,KY,37.4463,-86.9585,6/15/2010,Planted/Cultivated,Row Crops,0-25,<1,4.66,4.8,424,1.6,0.16,1.09,N.D.,1.09,0.46,0.2,68.5,6.6,37,<5,13.3,2.12,10.8,0.03,0.04,1.3,33.7,31,0.31,274,1.38,0.57,11.3,19.6,560,23,64.2,0.03,0.58,8,0.4,1.6,87,<0.1,10.3,0.34,0.6,3.6,65,1,21.5,75
C-350434,10556,KY,36.9221,-85.5963,6/9/2010,Planted/Cultivated,Pasture/Hay,0-1,<1,3.24,8.2,302,0.8,0.13,6.52,N.D.,6.52,0.34,0.3,41.1,4.5,32,<5,8.8,2.1,7.75,0.03,0.03,1.07,21.4,23,0.23,439,0.71,0.25,8.8,14,820,12.4,60,0.06,0.48,5.4,0.4,1.2,41.9,<0.1,7.4,0.29,0.4,2.3,63,0.9,9.4,44
C-350436,10924,KY,37.3645,-82.9177,6/2/2010,Forested Upland,Deciduous Forest,0-4,<1,4.09,4,527,2.3,0.11,6.49,N.D.,6.49,0.54,0.3,54.1,9,25,<5,10,1.37,9.15,0.07,0.03,1.18,35,23,0.24,1420,0.5,0.28,7.9,16.7,740,21,59.7,0.06,0.36,4.7,0.5,1.5,77.7,<0.1,6.4,0.21,0.4,1.7,36,0.7,16.8,71
C-350437,11180,KY,37.8582,-85.7503,6/16/2010,Forested Upland,Deciduous Forest,0-1,<1,4.34,6.2,373,1.5,0.18,16.8,N.D.,16.8,0.96,0.3,52.9,14.8,44,<5,19.1,2.5,10.8,0.08,0.04,1.08,25.3,35,0.45,1030,2.15,0.26,10.2,25.6,1090,31.6,52.8,0.09,0.61,8,0.7,1.5,70.5,<0.1,7.8,0.29,0.6,2.6,65,1,12.3,79
C-350438,11692,KY,38.3886,-83.0903,6/6/2010,Herbaceous Upland,Grasslands/Herbaceous,0-2,<1,5.87,8.5,388,2,0.19,11.1,N.D.,11.1,0.42,0.1,67.6,11.9,43,<5,13.6,2.83,15.4,0.05,0.05,1.31,32.7,47,0.55,567,0.45,0.48,9.3,27,1310,20.9,63.5,0.1,0.43,10.2,0.4,2,72.6,<0.1,9.4,0.25,0.4,2.7,71,0.9,19,94
C-350439,11948,KY,37.0962,-82.9823,6/2/2010,Forested Upland,Deciduous Forest,0-14,<1,6.62,6.1,620,2.7,0.17,2.66,N.D.,2.66,0.2,0.2,84.6,15.5,44,5,18.9,2.76,17.3,0.05,0.06,1.53,42.6,51,0.42,1320,0.56,0.52,12.9,27,790,21.6,79.4,0.04,0.53,10.8,0.4,2.2,83.9,<0.1,11.3,0.33,0.7,3.2,65,1.1,21.6,91
C-350440,12104,KY,37.0186,-88.8423,6/13/2010,Developed,Low Intensity Residential,0-9,<1,3.42,8.5,547,1.2,0.13,3.2,N.D.,3.2,0.26,0.1,72.1,11.7,43,<5,12.8,1.96,7.99,0.04,0.03,1.16,32.5,17,0.19,1570,1.04,0.57,9.8,16.8,890,21.7,51,0.05,0.81,4.5,0.4,0.9,80.3,<0.1,9.8,0.29,0.4,3.1,49,0.9,18.7,60
C-350441,12204,KY,37.3674,-86.6446,6/11/2010,Forested Upland,Deciduous Forest,0-1,<1,2.71,4.5,400,1,0.1,15.2,N.D.,15.2,0.62,0.2,48.6,9.5,24,<5,12.4,1.36,5.91,0.07,0.02,0.87,22.9,16,0.21,1580,0.65,0.33,6.4,14.5,650,16.5,37.8,0.08,0.41,3.9,0.4,0.8,75.9,<0.1,6.1,0.22,0.3,1.9,34,0.6,11.5,53
C-350442,12460,KY,37.9573,-84.6275,6/8/2010,Planted/Cultivated,Pasture/Hay,0-3,<1,3.76,8.1,384,1.6,0.18,4.8,N.D.,4.8,0.41,0.1,71.8,14.5,45,<5,17.9,3.28,9.66,0.07,0.04,1.04,34,25,0.26,1700,0.95,0.2,15.6,19,2390,35.9,63.3,0.07,0.66,7.3,0.5,3.4,76.1,<0.1,10.8,0.43,0.5,3.6,57,1.4,21.5,70
C-350443,12716,KY,39.0971,-84.7997,6/17/2010,Forested Upland,Deciduous Forest,0-20,<1,5.28,8.1,396,1.9,0.21,7.59,N.D.,7.59,1.19,0.3,68.7,13.8,47,<5,24.2,3.54,12.6,0.11,0.05,1.38,33,37,0.54,1060,1.1,0.47,10.9,27.7,1930,27.3,52.6,0.09,0.66,10.1,0.9,1.8,103,<0.1,10.1,0.34,0.6,2.8,69,1.1,23.7,90
C-314064,120,LA,30.2191,-90.7998,7/30/2008,Herbaceous Upland,Grasslands/Herbaceous,0-15,<1,7.09,4.8,448,2.1,0.3,4.85,N.D.,4.85,0.56,0.2,73.5,8,67,7,24.9,2.97,17.9,0.07,0.06,1.52,35.5,39,0.72,172,1.04,0.42,11.5,24.5,600,35.2,110,0.08,0.92,11.8,0.8,2.1,98.8,<0.1,11.8,0.31,0.7,4.2,125,1.1,19.6,92
C-314100,140,LA,32.1432,-93.8839,8/6/2008,Herbaceous Upland,Grasslands/Herbaceous,0-30,<1,0.61,1.8,132,0.3,0.07,0.61,N.D.,0.61,0.03,<0.1,27.8,1.7,11,<5,5.1,0.37,1.72,0.01,<0.02,0.17,13,8,0.03,174,0.19,0.03,5.9,2.9,150,8.1,10.3,<0.01,0.37,1.3,<0.2,0.3,13,<0.1,4.1,0.18,0.1,1,14,0.4,4.5,10
C-314058,204,LA,30.5129,-90.773,7/26/2008,Herbaceous Upland,Grasslands/Herbaceous,0-5,<1,2.55,6.1,271,0.7,0.14,2.03,0.1,1.9,0.22,0.3,57,8.8,37,<5,9.4,1.41,6.89,0.08,<0.02,0.49,17.5,13,0.11,2160,1.08,0.3,6.3,12.7,230,22.5,33.6,0.02,0.56,3.9,0.7,0.8,49.6,<0.1,6.8,0.19,0.3,2.1,43,0.5,7.5,38
C-314048,332,LA,31.1414,-92.8034,8/2/2008,Forested Upland,Mixed Forest,0-15,<1,0.89,1,147,0.3,0.06,0.51,N.D.,0.51,0.1,<0.1,32.3,2.5,16,<5,8.3,0.37,2.38,0.04,<0.02,0.25,12.5,7,0.04,358,0.49,0.04,4.6,12.1,70,9.3,16.8,<0.01,0.32,1.6,<0.2,0.4,18,<0.1,2.8,0.11,<0.1,0.9,13,0.3,7.5,10
C-314127,460,LA,30.9632,-90.3561,7/26/2008,Developed,Low Intensity Residential,0-10,<1,1.74,3.1,199,0.6,0.09,3.2,N.D.,3.2,0.05,<0.1,49.6,6.5,33,<5,5.7,0.89,4.61,0.04,<0.02,0.45,19,10,0.07,641,0.44,0.1,5.1,5.9,140,13.4,26.1,0.01,0.35,2.8,0.3,0.6,23.4,<0.1,5.1,0.17,0.2,1.3,26,0.3,8.6,15
C-314029,588,LA,32.586,-92.6468,8/6/2008,Planted/Cultivated,Pasture/Hay,0-20,<1,1.05,5.3,168,0.6,0.1,1.22,0.2,1,0.05,<0.1,42.7,3.7,25,<5,4.9,2.04,3.67,0.02,<0.02,0.34,19.9,8,0.05,343,0.34,0.03,6.8,4.7,310,11.5,20,0.01,0.36,2.3,<0.2,0.6,16.8,<0.1,4.9,0.21,0.1,1.1,31,0.5,12.3,27
C-314062,824,LA,30.0573,-92.2778,7/30/2008,Developed,Low Intensity Residential,0-20,<1,2.51,4,353,1.1,0.21,0.92,N.D.,0.92,0.24,<0.1,75.7,4.8,32,<5,6.9,0.93,9.09,0.03,0.03,0.55,35.4,13,0.15,237,0.63,0.4,10.1,8.8,120,16.8,52.9,0.01,0.53,6.2,0.4,1.2,65.5,<0.1,11.8,0.19,0.4,7.7,46,0.7,14.5,23
C-314082,1072,LA,29.3383,-89.4096,7/28/2008,Developed,Low Intensity Residential,0-20,<1,4.69,6.8,474,1.6,0.25,2.19,N.D.,2.19,0.54,0.6,45,9.3,57,<5,23.4,2.67,13.1,0.04,0.04,1.3,22.8,28,0.7,488,0.86,0.32,7,20.3,860,35.7,77.1,0.04,0.76,8.4,0.4,2.4,82.5,<0.1,7.3,0.18,0.5,2,93,0.9,14.2,228
C-314101,1144,LA,30.1695,-91.6861,7/30/2008,Herbaceous Upland,Grasslands/Herbaceous,0-20,<1,7.42,11,667,2.8,0.37,1.14,N.D.,1.14,1.05,0.4,66.3,15.6,61,7,28.3,3.56,21.1,0.05,0.06,1.84,33.6,46,1.1,792,1.17,0.41,14.4,32.8,710,22.5,108,0.02,1.04,14.7,0.4,2.1,114,<0.1,12.4,0.33,0.8,3.5,125,1.6,21.2,105
C-314050,1356,LA,31.5978,-93.1047,8/2/2008,Planted/Cultivated,Pasture/Hay,0-20,<1,0.98,1.4,226,0.3,0.09,0.65,N.D.,0.65,0.13,<0.1,31.9,1.1,21,<5,5.4,0.34,2.63,0.01,<0.02,0.41,11.2,8,0.05,74,0.8,0.07,6.3,5.3,100,11.1,18.7,0.01,0.47,1.4,0.2,0.5,26.1,<0.1,4.2,0.16,<0.1,1.1,15,0.3,4.7,10
C-314121,1612,LA,32.5113,-91.9322,8/5/2008,Forested Upland,Deciduous Forest,0-30,<1,8.5,6.8,503,3,0.33,3.13,N.D.,3.13,0.56,0.2,86.6,11.5,84,9,24.1,4.01,24.7,0.07,0.08,2.03,42,58,1.2,500,0.96,0.22,13,27.1,820,31,147,0.04,0.96,15.8,0.7,3,96.4,<0.1,14.2,0.3,0.9,3.9,138,1.2,24.8,121
C-314108,1740,LA,32.0303,-91.365,8/3/2008,Forested Upland,Deciduous Forest,0-20,<1,7.71,7.9,624,3.3,0.44,2.66,N.D.,2.66,0.64,0.8,64.1,13.1,62,7,27.8,3.43,21.2,0.07,0.07,2.01,31.9,45,0.95,790,1.48,0.39,14.4,28.9,740,28,125,0.03,0.95,14.8,1,2.1,104,<0.1,13.3,0.34,0.9,6,134,1.6,19.5,123
C-314128,1848,LA,30.0683,-89.8363,7/28/2008,Forested Upland,Deciduous Forest,0-10,<1,4.51,5,607,1.3,0.15,2.33,N.D.,2.33,0.88,0.3,52.5,8.1,45,<5,13.4,1.87,11.9,0.03,0.03,1.64,27.1,20,0.56,571,0.72,0.88,6.9,18.2,660,26.8,70.2,0.05,0.62,6.1,0.3,1.7,181,<0.1,7.2,0.19,0.4,2.2,65,0.7,14.9,70
C-314122,2168,LA,29.4227,-90.7658,7/29/2008,Developed,Low Intensity Residential,0-8,<1,5.59,9.6,775,1.6,0.19,0.62,N.D.,0.62,1.02,0.3,62.4,9.7,53,<5,22,2.69,13.8,0.03,0.04,1.93,31.2,28,0.82,743,0.74,0.91,8.3,21.8,780,15.5,85.4,0.02,0.67,7.8,<0.2,1.3,173,<0.1,9,0.23,0.6,2.1,86,0.9,18,71
C-314087,2380,LA,31.6374,-92.3815,8/4/2008,Forested Upland,Deciduous Forest,0-20,<1,1.37,2.5,254,0.3,0.11,1.2,N.D.,1.2,0.03,<0.1,28.8,1.2,23,<5,3.1,0.5,3.71,0.02,<0.02,0.46,14.4,9,0.06,49,0.43,0.07,6,3.1,80,13.6,23.9,0.01,0.39,1.9,<0.2,0.7,26.3,<0.1,5.2,0.16,0.2,1.2,21,0.3,5.8,9
C-314075,2636,LA,32.3813,-92.7087,8/6/2008,Forested Upland,Mixed Forest,0-15,<1,0.84,1.4,267,0.3,<0.04,0.36,N.D.,0.36,0.03,<0.1,25.6,2.2,19,<5,3,0.28,2.1,<0.01,<0.02,0.58,11.6,4,0.02,88,0.2,0.06,3.9,2.7,100,9.4,21.2,<0.01,0.19,1,<0.2,0.2,28.1,<0.1,1.7,0.09,0.1,0.5,10,0.2,4.6,7
C-314061,2872,LA,29.6629,-90.1094,7/28/2008,Developed,Low Intensity Residential,0-10,<1,4.79,5.7,565,1.5,0.19,2.35,N.D.,2.35,1.12,0.3,64.3,9,37,<5,17.1,1.87,12.6,0.05,0.03,1.63,30.9,22,0.5,462,1.1,0.86,8,23.7,560,23.4,86.7,0.04,0.74,7,0.4,1.6,172,<0.1,8.6,0.2,0.5,2.7,72,0.8,15.9,72
C-314096,2892,LA,32.707,-93.5755,8/6/2008,Planted/Cultivated,Pasture/Hay,0-20,<1,1.81,3,234,1.1,0.09,0.39,N.D.,0.39,0.04,<0.1,38.6,6,19,<5,5.6,0.76,4.62,0.01,<0.02,0.78,18.6,14,0.09,212,0.27,0.25,8.1,5.7,100,11.2,38.4,<0.01,0.37,3,<0.2,0.6,31.5,<0.1,6.4,0.23,0.2,1.6,22,0.5,11.4,11
C-314118,3404,LA,31.9566,-92.1629,8/4/2008,Forested Upland,Mixed Forest,0-30,<1,2.36,3.2,447,1,0.11,1.64,N.D.,1.64,0.07,<0.1,61.3,11.3,29,<5,5.5,0.82,5.75,0.06,<0.02,0.97,26.1,13,0.1,1980,0.47,0.24,7.3,7.7,230,16,41.9,0.02,0.44,2.9,0.3,0.7,53.1,<0.1,6.3,0.21,0.3,1.9,30,0.4,12.7,36
C-314053,3640,LA,29.7221,-92.7714,7/31/2008,Planted/Cultivated,Pasture/Hay,0-30,<1,4.54,6.9,468,1.4,0.18,2.77,N.D.,2.77,0.73,0.2,65.5,9.6,37,<5,15.7,1.92,11.4,0.05,0.03,1.63,23.2,22,0.48,1050,1.1,0.68,6.9,22.2,780,20.8,92.1,0.06,0.5,6.4,0.3,1.5,139,<0.1,7,0.18,0.3,1.8,63,0.7,13.4,127
C-314072,3896,LA,30.2517,-90.4012,7/27/2008,Herbaceous Upland,Grasslands/Herbaceous,0-20,<1,0.32,2.3,111,0.1,<0.04,41.5,N.D.,41.5,1.19,0.1,4.22,0.9,19,<5,15.8,0.31,0.9,0.04,<0.02,0.12,2.5,2,0.79,138,1.85,1.8,0.5,4.3,1060,23.6,4,1.59,0.19,0.8,0.5,0.3,128,<0.1,0.5,0.01,<0.1,0.3,10,0.2,1.6,18
C-314077,3980,LA,31.0826,-91.692,8/1/2008,Forested Upland,Mixed Forest,0-10,<1,7.96,8.7,535,2.8,0.33,2.26,N.D.,2.26,0.63,0.4,79.8,15,79,8,25,4.1,23.4,0.05,0.08,2.07,40.1,62,1.47,605,1.06,0.28,12.6,33.1,660,33.3,144,0.03,0.88,15.4,0.6,2.8,101,<0.1,12.3,0.27,0.8,3.4,137,1,23.5,114
C-314130,4216,LA,29.9105,-90.7726,7/30/2008,Planted/Cultivated,Pasture/Hay,0-20,<1,5.14,5.7,629,1.6,0.19,2.06,N.D.,2.06,0.69,0.2,53.2,8.2,51,<5,13.2,2.23,13.7,0.04,0.04,1.6,26.3,25,0.57,443,0.62,0.71,7.5,15.9,540,18.4,83.5,0.03,0.63,7.6,0.4,1.4,144,<0.1,8.1,0.19,0.5,2.4,81,0.8,15.6,65
C-314066,4236,LA,32.0799,-93.3918,8/6/2008,Developed,Low Intensity Residential,0-20,<1,1.37,3.8,154,0.4,0.31,1.22,N.D.,1.22,0.07,0.2,19.7,2.9,30,<5,18.1,0.92,3.56,0.11,<0.02,0.44,9.5,13,0.09,176,0.43,0.1,3.3,5,310,25.5,24.8,0.01,0.78,2.1,0.3,5.9,21.2,<0.1,3.9,0.13,0.1,1.1,21,0.2,4.7,88
C-314071,4300,LA,31.2291,-91.8724,8/1/2008,Forested Upland,Deciduous Forest,0-5,<1,6.04,5.6,592,1.7,0.22,2.55,N.D.,2.55,0.55,0.2,66.6,9.9,60,<5,14.8,2.64,16.7,0.04,0.05,1.84,33.1,39,0.86,376,0.93,0.58,10.2,20.1,510,20,113,0.03,0.61,11.2,0.4,1.8,124,<0.1,9.8,0.23,0.6,3,92,0.9,15.6,72
C-314059,4428,LA,31.2071,-93.306,8/2/2008,Planted/Cultivated,Pasture/Hay,0-20,<1,1.13,1.8,86,0.2,0.07,1.34,N.D.,1.34,0.15,<0.1,31,1.1,18,<5,26,0.44,2.97,0.02,<0.02,0.1,11.1,7,0.05,69,0.67,0.02,3.4,6,230,9.7,8.2,0.02,0.39,1.4,<0.2,0.4,16.3,<0.1,5.2,0.12,<0.1,1,17,0.2,3.5,13
C-314049,4492,LA,32.9871,-91.8236,8/6/2008,Forested Upland,Deciduous Forest,0-10,<1,2.43,5.3,291,0.7,0.15,2.6,N.D.,2.6,0.15,<0.1,64,6,31,<5,10.6,1.18,6.78,0.06,<0.02,0.81,22.8,12,0.1,1210,1.24,0.36,6.5,12.7,200,20.3,41,0.02,0.62,3.8,0.6,0.9,52,<0.1,7.3,0.21,0.3,2.2,40,0.4,11.2,19
C-314032,4664,LA,29.7718,-93.4536,7/31/2008,Developed,Low Intensity Residential,0-15,<1,1.94,3.9,432,0.5,0.07,1.14,1,0.1,3.45,<0.1,26.6,3.3,6,<5,4.8,0.54,4.61,0.01,<0.02,1.04,14.2,5,0.13,171,0.13,0.58,2.6,4.2,210,16.4,34.1,0.02,0.22,1.5,<0.2,0.6,225,<0.1,2.9,0.07,0.2,0.7,11,0.2,7,60
C-314109,4684,LA,32.8516,-92.9088,8/6/2008,Forested Upland,Mixed Forest,0-30,<1,0.61,5.7,68,0.4,0.09,0.81,N.D.,0.81,0.02,<0.1,21.1,2,13,<5,1.7,1.32,1.88,0.01,<0.02,0.1,7.6,4,0.02,113,0.19,0.01,3.5,3.6,130,8.2,7.6,<0.01,0.19,1.8,<0.2,0.3,8.9,<0.1,3.2,0.1,<0.1,0.7,27,0.2,3.1,18
C-314092,4920,LA,30.2949,-93.1168,7/31/2008,Planted/Cultivated,Urban/Recreational Grasses,0-5,<1,1.03,1.4,364,0.3,0.08,1.8,N.D.,1.8,0.13,<0.1,26,1.2,7,<5,2.8,0.31,2.66,0.02,<0.02,0.38,13.1,6,0.04,60,0.21,0.11,5.5,2.2,90,10.9,17,0.02,0.26,1.7,0.2,0.4,32.4,<0.1,3.9,0.15,0.2,1,13,0.3,5.5,9
C-314131,5240,LA,30.5356,-91.7148,8/1/2008,Forested Upland,Mixed Forest,0-15,<1,3.73,14,2530,1,0.09,1.21,N.D.,1.21,0.68,0.3,44,5.4,35,<5,9,1.35,8.69,6.24,0.02,1.62,22,16,0.4,307,0.33,0.82,5.4,11.6,570,18.4,62.2,0.07,0.47,4.1,<0.2,1.9,156,<0.1,6.1,0.15,0.4,1.4,43,0.6,11.5,52
C-314065,5452,LA,31.3225,-92.5636,8/2/2008,Planted/Cultivated,Row Crops,0-20,<1,3.83,4,339,1.2,0.11,0.27,N.D.,0.27,0.41,0.1,79.2,5.2,31,<5,13.1,1.36,8.74,<0.01,0.02,1.82,36.7,23,0.58,275,0.41,0.92,7.1,12.1,700,17.5,63.8,0.01,0.43,5,0.2,1.5,82.9,<0.1,11.8,0.22,0.3,2.5,39,0.5,14.9,37
C-314110,5688,LA,30.2926,-93.4248,7/31/2008,Planted/Cultivated,Pasture/Hay,0-30,<1,2.15,2.7,242,0.9,0.17,2.12,N.D.,2.12,0.19,<0.1,50.8,2.5,22,<5,6.9,0.79,5.61,0.02,<0.02,0.32,25.2,17,0.12,77,0.55,0.24,11.9,5.2,200,16.3,23.2,0.02,0.52,4.3,0.4,0.9,40.3,<0.1,8.4,0.3,0.2,2.9,31,0.8,12.1,15
C-314052,5708,LA,32.83,-91.9837,8/6/2008,Forested Upland,Deciduous Forest,0-20,<1,6.14,6.6,318,1.8,0.35,2.11,N.D.,2.11,0.32,<0.1,85.8,8.2,69,8,19.6,3.02,19.1,0.04,0.06,1.42,31.8,41,0.6,218,2.38,0.26,14.3,30.5,370,24.6,126,0.02,0.79,10.9,0.6,2.6,78.7,<0.1,14.4,0.32,0.8,3.2,111,1,13.6,67
C-314070,5836,LA,32.7945,-91.2951,8/4/2008,Forested Upland,Mixed Forest,0-20,<1,7.68,13.7,686,2.3,0.34,3.66,N.D.,3.66,0.94,0.8,72.3,15.4,78,8,40.3,4.22,19.9,0.06,0.07,2.08,35.1,50,1.03,1130,1.43,0.33,11,35.2,1170,31.4,127,0.04,1.14,13,1.1,2.8,115,<0.1,11.2,0.26,0.8,3.7,151,1.3,23.4,134
C-314119,5944,LA,30.1355,-89.872,7/26/2008,Forested Upland,Mixed Forest,0-20,<1,1.88,4.5,304,0.6,0.08,17.2,N.D.,17.2,1.01,0.2,22.6,3.2,28,<5,10.8,1.36,4.94,0.05,<0.02,0.71,11.6,9,0.37,112,0.94,0.34,3,8.4,560,31.9,32,0.3,0.37,2.7,0.3,0.7,100,<0.1,3.2,0.08,0.2,1.7,32,0.4,7.3,31
C-314026,6264,LA,29.5755,-91.5374,7/29/2008,Planted/Cultivated,Urban/Recreational Grasses,0-20,<1,4.83,7.5,847,1.6,0.2,1.28,N.D.,1.28,0.89,0.3,57.9,9.7,37,<5,15.6,2,12.7,0.04,0.05,1.73,29.4,24,0.62,875,0.6,0.89,10.2,18.5,710,18.5,74.8,0.09,0.63,6.9,0.3,1.5,159,<0.1,9.1,0.24,0.5,2.4,59,1.1,16.6,63
C-314126,6476,LA,31.032,-92.6533,8/2/2008,Forested Upland,Mixed Forest,0-20,<1,0.62,2.9,97,0.2,0.08,1.9,N.D.,1.9,0.03,<0.1,20.6,1.7,24,<5,4.2,0.61,1.88,0.02,<0.02,0.1,10,7,0.03,143,0.37,0.03,4.7,2.3,70,10.4,6.5,<0.01,0.43,1.4,<0.2,0.4,10,<0.1,3.6,0.14,<0.1,0.9,20,0.2,4.5,6
